Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
12.65,0.844555,7427119.139,,,Success,1.247781,1.065164,0.820961,3.763143,1.01325,3.501613,3.455823,298,463.877397,2123069.351,449.045191,745108.7437,306.542347,1.088526,1,0.834444,3.133166,3.501613,10.697905,3.055136,306.542347,447.540832,1802483.931,434.999893,683834.155,306.123894,1.128763,1,0.829069,3.065238,10.697905,32.508488,3.038771,306.123894,445.14871,1775695.115,436.522995,690446.5864,304.978254,1.192218,1,0.818165,2.931496,32.508488,95,2.922314,304.978254,439.736006,1725870.742,436.249149,689257.16,307.109934,TRUE,Success,1.065164
12.6,0.84487,7393096.58,,,Success,1.242849,1.06362,0.821533,3.749476,1.01325,3.490222,3.444582,298,463.223279,2106242.75,448.474402,742604.8128,306.496846,1.087681,1,0.834541,3.134452,3.490222,10.668015,3.056543,306.496846,447.517269,1795633.158,434.993344,683805.7391,306.10319,1.127414,1,0.829271,3.067729,10.668015,32.444901,3.041325,306.10319,445.201332,1769610.4,436.581288,690699.8061,304.962053,1.189801,1,0.818624,2.937186,32.444901,95,2.928041,304.962053,439.921136,1721610.272,436.43685,690072.3966,307.10578,TRUE,Success,1.06362
12.55,0.845185,7359132.186,,,Success,1.237917,1.062078,0.8221,3.735842,1.01325,3.478854,3.433362,298,462.570736,2089504.312,447.904812,740107.3785,306.451414,1.086825,1,0.834639,3.13575,3.478854,10.638209,3.057963,306.451414,447.494212,1788785.85,434.987292,683779.4763,306.082478,1.126048,1,0.829475,3.070234,10.638209,32.381586,3.043895,306.082478,445.254363,1763523.63,436.640008,690954.8933,304.94584,1.187365,1,0.819084,2.942874,32.381586,95,2.933766,304.94584,440.105389,1717318.394,436.623748,690884.2564,307.101537,TRUE,Success,1.062078
12.5,0.8455,7325226.107,,,Success,1.232985,1.060537,0.822663,3.72224,1.01325,3.467509,3.422166,298,461.919805,2072854.241,447.336457,737616.5782,306.406052,1.085956,1,0.834737,3.13706,3.467509,10.60849,3.059398,306.406052,447.471671,1781942.036,434.981745,683755.4086,306.061757,1.124666,1,0.829679,3.072755,10.60849,32.318549,3.04648,306.061757,445.307805,1757434.765,436.699157,691211.8582,304.929615,1.18491,1,0.819544,2.948558,32.318549,95,2.939488,304.929615,440.288753,1712995.065,436.809828,691692.6794,307.097205,TRUE,Success,1.060537
12.45,0.845815,7291378.502,,,Success,1.228053,1.058998,0.823221,3.708671,1.01325,3.456188,3.410992,298,461.270524,2056292.752,446.769373,735132.5536,306.360763,1.085075,1,0.834836,3.138382,3.456188,10.578859,3.060846,306.360763,447.449657,1775101.747,434.976713,683733.5786,306.041029,1.123267,1,0.829884,3.07529,10.578859,32.255795,3.049081,306.041029,445.361658,1751343.761,436.758739,691470.7107,304.913377,1.182435,1,0.820004,2.954239,32.255795,95,2.945207,304.913377,440.471213,1708640.243,436.995078,692497.6061,307.092783,TRUE,Success,1.058998
12.4,0.84613,7257589.542,,,Success,1.223121,1.057461,0.823774,3.695135,1.01325,3.444891,3.399843,298,460.622931,2039820.064,446.203598,732655.4513,306.31555,1.084181,1,0.834936,3.139717,3.444891,10.549319,3.062309,306.31555,447.42818,1768265.013,434.972208,683714.03,306.020294,1.12185,1,0.83009,3.077841,10.549319,32.193329,3.051697,306.020294,445.415926,1745250.575,436.818754,691731.461,304.897126,1.17994,1,0.820465,2.959916,32.193329,95,2.950922,304.897126,440.652755,1704253.89,437.179485,693298.9768,307.088271,TRUE,Success,1.057461
12.35,0.846445,7223859.41,,,Success,1.218189,1.055926,0.824322,3.681634,1.01325,3.433618,3.388718,298,459.977067,2023436.407,445.63917,730185.4231,306.270415,1.083275,1,0.835036,3.141065,3.433618,10.519872,3.063786,306.270415,447.407251,1761431.866,434.968239,683696.8071,305.999551,1.120416,1,0.830297,3.080406,10.519872,32.131156,3.05433,305.999551,445.470609,1739155.163,436.879206,691994.1193,304.880863,1.177424,1,0.820926,2.965587,32.131156,95,2.956632,304.880863,440.833365,1699835.974,437.363034,694096.7318,307.083669,TRUE,Success,1.055926
12.3,0.84676,7190188.302,,,Success,1.213257,1.054393,0.824865,3.668167,1.01325,3.422371,3.377618,298,459.332974,2007142.018,445.07613,727722.6258,306.22536,1.082355,1,0.835137,3.142426,3.422371,10.490518,3.065278,306.22536,447.38688,1754602.339,434.964816,683681.9556,305.978801,1.118965,1,0.830505,3.082987,10.490518,32.069281,3.056978,305.978801,445.525709,1733057.482,436.940097,692258.6958,304.864588,1.174889,1,0.821387,2.971253,32.069281,95,2.962336,304.864588,441.013028,1695386.463,437.545713,694890.8118,307.078977,TRUE,Success,1.054393
12.25,0.847074,7156576.427,,,Success,1.208325,1.052861,0.825403,3.654735,1.01325,3.41115,3.366544,298,458.690694,1990937.144,444.514517,725267.222,306.18039,1.081422,1,0.835238,3.143799,3.41115,10.461262,3.066784,306.18039,447.36708,1747776.464,434.96195,683669.5217,305.958043,1.117495,1,0.830714,3.085582,10.461262,32.007711,3.059642,305.958043,445.581229,1726957.488,437.001429,692525.2009,304.8483,1.172332,1,0.821849,2.976913,32.007711,95,2.968035,304.8483,441.191732,1690905.331,437.727508,695681.1577,307.074194,TRUE,Success,1.052861
12.2,0.847388,7123024.008,,,Success,1.203393,1.051332,0.825934,3.641339,1.01325,3.399956,3.355496,298,458.050272,1974822.039,443.954376,722819.3796,306.135506,1.080475,1,0.83534,3.145186,3.399956,10.432104,3.068306,306.135506,447.347861,1740954.276,434.959653,683659.5529,305.937279,1.116006,1,0.830924,3.088193,10.432104,31.946451,3.062321,305.937279,445.63717,1720855.137,437.063204,692793.645,304.832,1.169755,1,0.82231,2.982566,31.946451,95,2.973726,304.832,441.369461,1686392.556,437.908405,696467.7104,307.069321,TRUE,Success,1.051332
